Season,Rank,Identifier,Club,Matchday,Broadcast,Commercial,Total
2017/2018,1,RM,Real Madrid,127.10,222.60,315.50,665.20
2017/2018,2,FCB,FC Barcelona,128.30,197.50,285.80,611.60
2017/2018,3,MUFC,Manchester United,105.90,204.10,280.00,590.00
2017/2018,4,BM,Bayern Munich,92.00,156.50,308.90,557.40
2017/2018,5,MCFC,Manchester City,56.60,211.50,235.40,503.50
2017/2018,6,PSG,Paris Saint-Germain,89.20,113.20,277.50,479.90
2017/2018,7,LFC,Liverpool FC,81.20,222.60,151.30,455.10
2017/2018,8,CFC,Chelsea,73.90,204.20,169.90,448.00
2017/2018,9,ARS,Arsenal,98.90,183.30,106.90,389.10
2017/2018,10,THFC,Tottenham Hotspur,75.50,200.70,103.20,379.40
2017/2018,11,JUVE,Juventus,45.40,177.50,126.90,349.80
2017/2018,12,DORT,Borussia Dortmund,50.60,108.30,122.10,281.00
2017/2018,13,ATL,Atlético de Madrid,50.30,140.10,79.20,269.60
2017/2018,14,INTER,Inter Milan,31.30,86.50,130.90,248.70
2017/2018,15,ROMA,AS Roma,31.40,147.80,42.30,221.50
2017/2018,16,SCHALKE,Schalke 04,41.70,80.60,93.70,216.00
2017/2018,17,EFC,Everton,16.70,141.80,30.10,188.60
2017/2018,18,ACM,AC Milan,32.70,89.10,62.20,184.00
2017/2018,19,NUFC,Newcastle United,23.90,126.40,28.20,178.50
2017/2018,20,WHFC,West Ham United,24.50,118.50,32.30,175.30
2016/2017,1,MUFC,Manchester United,107.60,194.10,279.50,581.20
2016/2017,2,RM,Real Madrid,117.20,203.50,259.00,579.70
2016/2017,3,FCB,FC Barcelona,117.90,184.70,254.50,557.10
2016/2017,4,BM,Bayern Munich,83.90,126.10,295.10,505.10
2016/2017,5,MCFC,Manchester City,51.90,203.50,198.10,453.50
2016/2017,6,ARS,Arsenal,100.00,201.70,117.30,419.00
2016/2017,7,PSG,Paris Saint-Germain,77.50,104.80,235.50,417.80
2016/2017,8,CFC,Chelsea,65.50,162.50,139.80,367.80
2016/2017,9,LFC,Liverpool FC,68.80,156.80,138.90,364.50
2016/2017,10,JUVE,Juventus,49.60,200.70,98.30,348.60
2016/2017,11,THFC,Tottenham Hotspur,45.30,188.20,72.10,305.60
2016/2017,12,DORT,Borussia Dortmund,50.40,108.00,127.40,285.80
2016/2017,13,ATL,Atlético de Madrid,35.20,138.40,60.60,234.20
2016/2017,14,LEIC,Leicester City,16.50,190.80,25.70,233.00
2016/2017,15,INTER,Inter Milan,24.40,89.00,111.80,225.20
2016/2017,16,SCHALKE,Schalke 04,45.80,70.70,81.30,197.80
2016/2017,17,WHFC,West Ham United,28.60,119.30,35.40,183.30
2016/2017,18,SOU,Southampton,22.40,143.00,16.90,182.30
2016/2017,19,NAP,SSC Napoli,16.70,126.30,29.50,172.50
2016/2017,20,EFC,Everton,14.50,130.50,26.20,171.20
2015/2016,1,MUFC,Manchester United,102.80,140.40,272.10,515.30
2015/2016,2,FCB,FC Barcelona,90.80,151.60,221.40,463.80
2015/2016,3,RM,Real Madrid,96.50,170.30,197.00,463.80
2015/2016,4,BM,Bayern Munich,76.10,110.40,256.20,442.70
2015/2016,5,MCFC,Manchester City,52.50,161.40,178.70,392.60
2015/2016,6,PSG,Paris Saint-Germain,69.20,92.10,228.30,389.60
2015/2016,7,ARS,Arsenal,99.90,143.60,106.90,350.40
2015/2016,8,CFC,Chelsea,69.70,142.90,122.00,334.60
2015/2016,9,LFC,Liverpool FC,56.80,125.70,119.50,302.00
2015/2016,10,JUVE,Juventus,32.60,146.40,76.10,255.10
2015/2016,11,DORT,Borussia Dortmund,45.70,61.70,104.90,212.30
2015/2016,12,THFC,Tottenham Hotspur,40.80,110.40,58.00,209.20
2015/2016,13,ATL,Atlético de Madrid,26.90,104.30,39.80,171.00
2015/2016,14,SCHALKE,Schalke 04,38.30,56.10,73.50,167.90
2015/2016,15,ROMA,AS Roma,21.20,115.20,26.80,163.20
2015/2016,16,ACM,AC Milan,19.40,65.80,75.40,160.60
2015/2016,17,ZENIT,FC Zenit St.Petersburg,7.70,30.30,109.00,147.00
2015/2016,18,WHFC,West Ham United,26.90,86.70,30.20,143.80
2015/2016,19,INTER,Inter Milan,19.20,73.70,41.10,134.00
2015/2016,20,LEIC,Leicester City,11.50,94.70,22.50,128.70
2014/2015,1,RM,Real Madrid,98.80,152.10,188.10,439.00
2014/2015,2,FCB,FC Barcelona,88.90,152.00,185.70,426.60
2014/2015,3,MUFC,Manchester United,86.70,107.70,200.80,395.20
2014/2015,4,PSG,Paris Saint-Germain,59.30,80.50,226.00,365.80
2014/2015,5,BM,Bayern Munich,68.30,80.70,211.60,360.60
2014/2015,6,MCFC,Manchester City,43.40,135.40,173.80,352.60
2014/2015,7,ARS,Arsenal,100.40,127.60,103.30,331.30
2014/2015,8,CFC,Chelsea,70.80,135.60,113.10,319.50
2014/2015,9,LFC,Liverpool FC,57.10,124.60,116.40,298.10
2014/2015,10,JUVE,Juventus,39.10,151.40,55.90,246.40
2014/2015,11,DORT,Borussia Dortmund,41.20,62.50,109.80,213.50
2014/2015,12,THFC,Tottenham Hotspur,41.20,95.30,59.40,195.90
2014/2015,13,SCHALKE,Schalke 04,29.80,55.20,82.10,167.10
2014/2015,14,ACM,AC Milan,17.00,60.60,73.90,151.50
2014/2015,15,ATL,Atlético de Madrid,28.30,65.90,48.10,142.30
2014/2015,16,ROMA,AS Roma,23.10,86.70,27.40,137.20
2014/2015,17,NUFC,Newcastle United,26.80,77.10,24.90,128.80
2014/2015,18,EFC,Everton,18.70,86.80,20.10,125.60
2014/2015,19,INTER,Inter Milan,16.90,74.00,34.50,125.40
2014/2015,20,WHFC,West Ham United,19.90,79.00,23.50,122.40
2013/2014,1,RM,Real Madrid,95.20,170.70,193.60,459.50
2013/2014,2,MUFC,Manchester United,108.10,135.80,189.30,433.20
2013/2014,3,BM,Bayern Munich,73.60,90.10,244.00,407.70
2013/2014,4,FCB,FC Barcelona,97.70,152.20,155.30,405.20
2013/2014,5,PSG,Paris Saint-Germain,52.80,69.70,274.00,396.50
2013/2014,6,MCFC,Manchester City,47.50,133.20,165.80,346.50
2013/2014,7,CFC,Chelsea,71.00,139.90,113.50,324.40
2013/2014,8,ARS,Arsenal,100.20,123.20,77.10,300.50
2013/2014,9,LFC,Liverpool FC,51.00,101.00,103.80,255.80
2013/2014,10,JUVE,Juventus,34.30,128.20,71.10,233.60
2013/2014,11,DORT,Borussia Dortmund,46.90,68.20,103.60,218.70
2013/2014,12,ACM,AC Milan,20.80,102.60,85.40,208.80
2013/2014,13,THFC,Tottenham Hotspur,43.90,94.80,41.80,180.50
2013/2014,14,SCHALKE,Schalke 04,34.40,57.30,87.20,178.90
2013/2014,15,ATL,Atlético de Madrid,27.20,80.70,34.20,142.10
2013/2014,16,NAP,SSC Napoli,17.50,89.50,30.80,137.80
2013/2014,17,INTER,Inter Milan,15.70,70.90,50.50,137.10
